序号,推荐类别,目标名称,NORAD ID,COSPAR ID,轨道类型,估算高度,倾角,平均运动,来源分组,教学价值,推荐理由
156,火箭体/碎片,SL-16 R/B,16182,1985-097B,LEO,约837 km,71.0,14.166119,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
157,火箭体/碎片,SL-16 R/B,17590,1987-027B,LEO,约835 km,71.0,14.171714,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
158,火箭体/碎片,SL-16 R/B,19120,1988-039B,LEO,约827 km,71.01,14.196309,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
159,遥感观测,TERRASAR-X,31698,2007-026A,SSO/近极轨,约509 km,97.44,15.191488,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
160,遥感观测,YAOGAN-29,41038,2015-069A,SSO/近极轨,约620 km,98.0,14.830891,visual,肉眼可见经典目标,适合讲解对地成像、资源调查和太阳同步轨道。
161,通信星座,ONEWEB-0006,44061,2019-010E,LEO,"约1,202 km",87.9,13.155498,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
162,通信星座,ONEWEB-0007,44060,2019-010D,LEO,"约1,202 km",87.9,13.155487,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
163,通信星座,ONEWEB-0008,44059,2019-010C,LEO,"约1,198 km",87.91,13.165962,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
164,通信星座,ONEWEB-0010,44058,2019-010B,LEO,"约1,198 km",87.91,13.16595,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
165,通信星座,ONEWEB-0011,44062,2019-010F,LEO,"约1,202 km",87.9,13.15548,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
166,通信星座,ONEWEB-0012,44057,2019-010A,LEO,"约1,198 km",87.91,13.165951,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
167,通信星座,ONEWEB-0013,45131,2020-008A,LEO,"约1,225 km",87.85,13.094542,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
168,通信星座,ONEWEB-0017,45132,2020-008B,LEO,"约1,222 km",87.88,13.103639,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
169,通信星座,ONEWEB-0018,45434,2020-020L,LEO,"约1,218 km",87.89,13.114214,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
170,通信星座,ONEWEB-0019,45449,2020-020AB,LEO,"约1,218 km",87.89,13.114188,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
171,通信星座,ONEWEB-0020,45133,2020-008C,LEO,"约1,222 km",87.88,13.104189,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
172,通信星座,ONEWEB-0021,45134,2020-008D,LEO,"约1,222 km",87.88,13.103979,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
173,通信星座,ONEWEB-0023,45136,2020-008F,LEO,"约1,222 km",87.88,13.103745,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
174,通信星座,ONEWEB-0024,45137,2020-008G,LEO,"约1,222 km",87.88,13.104209,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
175,通信星座,ONEWEB-0025,45138,2020-008H,LEO,"约1,222 km",87.88,13.104169,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
176,通信星座,ONEWEB-0026,45139,2020-008J,LEO,"约1,218 km",87.89,13.114162,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
177,通信星座,ONEWEB-0027,45432,2020-020J,LEO,"约1,194 km",87.91,13.176524,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
178,通信星座,ONEWEB-0028,45140,2020-008K,LEO,"约1,218 km",87.89,13.114171,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
179,通信星座,ONEWEB-0029,45445,2020-020X,LEO,"约1,218 km",87.89,13.114142,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
180,通信星座,ONEWEB-0031,45431,2020-020H,LEO,"约1,218 km",87.89,13.114149,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
181,通信星座,ONEWEB-0032,45141,2020-008L,LEO,"约1,222 km",87.88,13.103615,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
182,通信星座,ONEWEB-0033,45142,2020-008M,LEO,"约1,222 km",87.88,13.104032,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
183,通信星座,ONEWEB-0034,45454,2020-020AG,LEO,"约1,218 km",87.89,13.11417,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
184,通信星座,ONEWEB-0035,45143,2020-008N,LEO,"约1,222 km",87.88,13.103771,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
185,通信星座,ONEWEB-0036,45144,2020-008P,LEO,"约1,223 km",87.88,13.099787,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
186,通信星座,ONEWEB-0037,45440,2020-020S,LEO,"约1,216 km",87.89,13.119131,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
187,通信星座,ONEWEB-0038,45145,2020-008Q,LEO,"约1,218 km",87.89,13.114144,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
188,通信星座,ONEWEB-0039,45146,2020-008R,LEO,"约1,222 km",87.88,13.104482,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
189,通信星座,ONEWEB-0040,45147,2020-008S,LEO,"约1,222 km",87.88,13.104349,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
190,通信星座,ONEWEB-0042,45441,2020-020T,LEO,"约1,218 km",87.89,13.114173,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
191,通信星座,ONEWEB-0043,45149,2020-008U,LEO,"约1,222 km",87.88,13.104163,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
192,通信星座,ONEWEB-0044,45150,2020-008V,LEO,"约1,222 km",87.88,13.103527,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
193,通信星座,ONEWEB-0045,45151,2020-008W,LEO,"约1,218 km",87.89,13.114146,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
194,通信星座,ONEWEB-0046,45447,2020-020Z,LEO,"约1,218 km",87.89,13.114174,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
195,通信星座,ONEWEB-0047,45152,2020-008X,LEO,"约1,222 km",87.88,13.103764,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
196,通信星座,ONEWEB-0048,45153,2020-008Y,LEO,"约1,222 km",87.88,13.103991,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
197,通信星座,ONEWEB-0049,45154,2020-008Z,LEO,"约1,222 km",87.88,13.103763,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
198,通信星座,ONEWEB-0050,45453,2020-020AF,LEO,约597 km,88.93,14.904037,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
199,通信星座,ONEWEB-0051,45155,2020-008AA,LEO,"约1,218 km",87.89,13.114161,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
200,通信星座,ONEWEB-0052,45156,2020-008AB,LEO,"约1,222 km",87.88,13.103347,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
201,通信星座,ONEWEB-0053,45157,2020-008AC,LEO,"约1,221 km",87.88,13.104675,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
202,通信星座,ONEWEB-0054,45158,2020-008AD,LEO,"约1,222 km",87.88,13.103393,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
203,通信星座,ONEWEB-0055,45443,2020-020V,LEO,"约1,218 km",87.89,13.114157,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
204,通信星座,ONEWEB-0056,45159,2020-008AE,LEO,"约1,222 km",87.88,13.104293,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
205,通信星座,ONEWEB-0057,45160,2020-008AF,LEO,"约1,222 km",87.88,13.10388,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
206,通信星座,ONEWEB-0058,45161,2020-008AG,LEO,"约1,222 km",87.88,13.103705,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
207,通信星座,ONEWEB-0059,45162,2020-008AH,LEO,"约1,222 km",87.88,13.104097,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
208,通信星座,ONEWEB-0060,45455,2020-020AH,LEO,"约1,218 km",87.89,13.114139,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
209,通信星座,ONEWEB-0061,45428,2020-020E,LEO,"约1,218 km",87.89,13.114149,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
210,通信星座,ONEWEB-0062,45163,2020-008AJ,LEO,"约1,222 km",87.88,13.103516,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
211,通信星座,ONEWEB-0063,45448,2020-020AA,LEO,"约1,218 km",87.89,13.114139,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
212,通信星座,ONEWEB-0064,45433,2020-020K,LEO,"约1,218 km",87.89,13.114154,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
213,通信星座,ONEWEB-0065,45164,2020-008AK,LEO,"约1,222 km",87.88,13.102828,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
214,通信星座,ONEWEB-0066,45424,2020-020A,LEO,"约1,218 km",87.89,13.114179,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
215,通信星座,ONEWEB-0067,45425,2020-020B,LEO,"约1,218 km",87.89,13.114233,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
216,通信星座,ONEWEB-0068,45446,2020-020Y,LEO,"约1,218 km",87.89,13.114164,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
217,通信星座,ONEWEB-0069,45430,2020-020G,LEO,"约1,218 km",87.89,13.114164,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
218,通信星座,ONEWEB-0080,45426,2020-020C,LEO,"约1,218 km",87.89,13.114144,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
219,通信星座,ONEWEB-0081,45429,2020-020F,LEO,"约1,218 km",87.89,13.11427,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
220,通信星座,ONEWEB-0082,45452,2020-020AE,LEO,"约1,218 km",87.89,13.114145,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
221,通信星座,ONEWEB-0083,45435,2020-020M,LEO,"约1,218 km",87.89,13.114186,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
222,通信星座,ONEWEB-0085,45438,2020-020Q,LEO,"约1,218 km",87.89,13.114186,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
223,通信星座,ONEWEB-0086,45456,2020-020AJ,LEO,"约1,218 km",87.89,13.114159,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
224,通信星座,ONEWEB-0087,45451,2020-020AD,LEO,"约1,218 km",87.89,13.114151,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
225,通信星座,ONEWEB-0088,45457,2020-020AK,LEO,"约1,218 km",87.89,13.114184,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
226,通信星座,ONEWEB-0090,45427,2020-020D,LEO,"约1,218 km",87.89,13.114183,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
227,通信星座,ONEWEB-0092,45437,2020-020P,LEO,"约1,218 km",87.89,13.114122,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
228,通信星座,ONEWEB-0093,45444,2020-020W,LEO,"约1,218 km",87.89,13.114047,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
229,通信星座,ONEWEB-0094,45450,2020-020AC,LEO,"约1,194 km",87.91,13.176471,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
230,通信星座,ONEWEB-0095,45436,2020-020N,LEO,"约1,218 km",87.89,13.114162,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
231,通信星座,ONEWEB-0096,45439,2020-020R,LEO,"约1,218 km",87.89,13.11417,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
232,通信星座,ONEWEB-0098,45442,2020-020U,LEO,"约1,218 km",87.89,13.11418,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
233,通信星座,ONEWEB-0101,48049,2021-025H,LEO,"约1,210 km",87.9,13.134712,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
234,通信星座,ONEWEB-0102,47258,2020-100A,LEO,"约1,214 km",87.89,13.124432,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
235,通信星座,ONEWEB-0107,48048,2021-025G,LEO,"约1,210 km",87.9,13.134702,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
236,通信星座,ONEWEB-0108,48076,2021-025AL,LEO,"约1,210 km",87.9,13.134708,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
237,通信星座,ONEWEB-0109,47259,2020-100B,LEO,"约1,214 km",87.9,13.124427,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
238,通信星座,ONEWEB-0110,47260,2020-100C,LEO,"约1,214 km",87.9,13.124409,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
239,通信星座,ONEWEB-0111,47261,2020-100D,LEO,"约1,214 km",87.9,13.124424,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
240,通信星座,ONEWEB-0112,48051,2021-025K,LEO,"约1,210 km",87.9,13.134704,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
241,通信星座,ONEWEB-0113,48050,2021-025J,LEO,"约1,208 km",87.9,13.138924,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
242,通信星座,ONEWEB-0114,47262,2020-100E,LEO,"约1,214 km",87.9,13.124458,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
243,通信星座,ONEWEB-0115,48042,2021-025A,LEO,"约1,210 km",87.9,13.134697,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
244,通信星座,ONEWEB-0116,48046,2021-025E,LEO,"约1,210 km",87.9,13.134691,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
245,通信星座,ONEWEB-0117,47263,2020-100F,LEO,"约1,214 km",87.89,13.124442,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
246,通信星座,ONEWEB-0118,47264,2020-100G,LEO,"约1,214 km",87.9,13.124426,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
247,通信星座,ONEWEB-0119,47265,2020-100H,LEO,"约1,214 km",87.89,13.124448,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
248,通信星座,ONEWEB-0120,47266,2020-100J,LEO,"约1,214 km",87.89,13.124447,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
249,通信星座,ONEWEB-0121,47267,2020-100K,LEO,"约1,214 km",87.9,13.124447,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
250,通信星座,ONEWEB-0122,47268,2020-100L,LEO,"约1,214 km",87.9,13.124443,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
251,通信星座,ONEWEB-0123,47269,2020-100M,LEO,"约1,214 km",87.89,13.124436,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
252,通信星座,ONEWEB-0124,47270,2020-100N,LEO,"约1,214 km",87.89,13.124418,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
253,通信星座,ONEWEB-0125,47271,2020-100P,LEO,"约1,214 km",87.9,13.124406,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
254,通信星座,ONEWEB-0126,47272,2020-100Q,LEO,"约1,214 km",87.89,13.124432,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
255,通信星座,ONEWEB-0127,47273,2020-100R,LEO,"约1,214 km",87.89,13.124416,oneweb,OneWeb星座,适合讲解星座壳层、空间交通和批量部署。
256,导航定位,COSMOS 2432 (719),32276,2007-052B,MEO,"约19,130 km",65.59,2.131031,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
257,导航定位,COSMOS 2433 (720),32275,2007-052A,MEO,"约19,130 km",65.57,2.131041,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
258,导航定位,COSMOS 2434 (721),32393,2007-065A,MEO,"约19,130 km",64.32,2.131013,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
259,导航定位,COSMOS 2436 (723),32395,2007-065C,MEO,"约19,130 km",64.33,2.131001,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
260,导航定位,COSMOS 2456 (730),36111,2009-070A,MEO,"约19,130 km",65.02,2.131036,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
261,导航定位,COSMOS 2457 (733),36112,2009-070B,MEO,"约19,130 km",65.0,2.13101,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
262,导航定位,COSMOS 2460 (732),36402,2010-007C,MEO,"约19,130 km",65.42,2.131015,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
263,导航定位,COSMOS 2475 (743),37869,2011-064C,MEO,"约19,130 km",65.29,2.131017,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
264,导航定位,COSMOS 2476 (744),37867,2011-064A,MEO,"约19,130 km",65.27,2.131037,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
265,导航定位,COSMOS 2477 (745),37868,2011-064B,MEO,"约19,130 km",65.28,2.131028,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
266,导航定位,COSMOS 2485 (747),39155,2013-019A,MEO,"约19,130 km",65.42,2.131032,glo-ops,GLONASS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
267,综合目标,ACS3,59588,2024-077B,SSO/近极轨,约913 km,97.17,13.945397,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
268,综合目标,AJISAI (EGS),16908,1986-061A,LEO,"约1,488 km",50.01,12.445168,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
269,综合目标,ALOS (DAICHI),28931,2006-002A,SSO/近极轨,约661 km,98.13,14.700606,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
270,综合目标,ALOS-2,39766,2014-029A,SSO/近极轨,约631 km,97.92,14.794749,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
271,综合目标,ASTEX 1,5560,1971-089A,LEO,约723 km,92.7,14.50857,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
272,综合目标,ASTRO-H (HITOMI),41337,2016-012A,LEO,约535 km,31.0,15.105419,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
273,综合目标,ATLAS CENTAUR 2,694,1963-047A,LEO,约851 km,30.36,14.125311,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
274,综合目标,COSMO-SKYMED 1,31598,2007-023A,SSO/近极轨,约576 km,97.89,14.971335,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
275,综合目标,COSMOS 1536,14699,1984-013A,LEO,约491 km,82.54,15.25126,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
276,综合目标,COSMOS 1743,16719,1986-034A,LEO,约366 km,82.53,15.674951,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
277,综合目标,COSMOS 1833,17589,1987-027A,LEO,约849 km,70.92,14.130554,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
278,综合目标,COSMOS 1844,17973,1987-041A,LEO,约844 km,70.9,14.145675,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
279,综合目标,COSMOS 1867,18187,1987-060A,LEO,约787 km,65.01,14.315165,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
280,综合目标,COSMOS 1933,18958,1988-020A,LEO,约510 km,82.51,15.187499,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
281,综合目标,COSMOS 1953,19210,1988-050A,LEO,约476 km,82.51,15.300579,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
282,综合目标,COSMOS 1975,19573,1988-093A,LEO,约478 km,82.52,15.294016,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
283,综合目标,COSMOS 2058,20465,1990-010A,LEO,约530 km,82.47,15.120561,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
284,综合目标,COSMOS 2084,20663,1990-055A,LEO,约548 km,62.79,15.061414,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
285,综合目标,COSMOS 2151,21422,1991-042A,LEO,约566 km,82.5,15.004551,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
286,综合目标,COSMOS 2219,22219,1992-076A,LEO,约845 km,71.06,14.141041,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
287,综合目标,COSMOS 2221,22236,1992-080A,LEO,约578 km,82.5,14.965481,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
288,综合目标,COSMOS 2228,22286,1992-094A,LEO,约574 km,82.52,14.976084,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
289,综合目标,COSMOS 2242,22626,1993-024A,LEO,约577 km,82.52,14.969212,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
290,综合目标,COSMOS 2278,23087,1994-023A,LEO,约844 km,71.06,14.143987,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
291,综合目标,COSMOS 2428,31792,2007-029A,LEO,约850 km,70.94,14.129277,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
292,综合目标,COSMOS 2550,48865,2021-056A,LEO,约465 km,67.14,15.338392,visual,肉眼可见经典目标,适合补充轨道类型和任务类型覆盖。
293,气象环境,ARKTIKA-M 1,47719,2021-016A,MEO,"约20,177 km",63.29,2.006225,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
294,气象环境,ARKTIKA-M 2,58584,2023-198A,MEO,"约20,178 km",63.24,2.006114,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
295,科学/测地,ASTROSAT,40930,2015-052A,LEO,约622 km,6.0,14.82519,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
296,科学/测地,BRITE-AUSTRIA,39091,2013-009F,SSO/近极轨,约770 km,98.4,14.36545,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
297,科学/测地,BRITE-CA1 (TORONTO),40020,2014-033L,SSO/近极轨,约653 km,97.97,14.726859,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
298,科学/测地,BRITE-PL2 (HEWELIUSZ),40119,2014-049B,SSO/近极轨,约584 km,97.91,14.946178,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
299,科学/测地,CASSIOPE,39265,2013-055A,LEO,约488 km,80.91,15.259093,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
300,科学/测地,CLUSTER II-FM7 (SAMBA),26410,2000-041A,GEO/高轨,"约65,693 km",149.9,0.448704,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
301,科学/测地,CLUSTER II-FM8 (TANGO),26464,2000-045B,GEO/高轨,"约66,179 km",150.14,0.444203,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
302,气象环境,COMS 1,36744,2010-032A,GEO/高轨,"约36,100 km",4.82,0.991651,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
303,科学/测地,CORIOLIS,27640,2003-001A,SSO/近极轨,约826 km,98.71,14.199465,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
304,科学/测地,CRYOSAT 2,36508,2010-013A,LEO,约720 km,92.04,14.519017,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
305,科学/测地,CXO,25867,1999-040B,GEO/高轨,"约74,420 km",56.28,0.378009,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
306,气象环境,CYGFM01,41887,2016-078D,LEO,约395 km,34.94,15.575903,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
307,气象环境,CYGFM02,41886,2016-078C,LEO,约374 km,34.94,15.649024,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
308,气象环境,CYGFM03,41891,2016-078H,LEO,约387 km,34.94,15.604199,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
309,气象环境,CYGFM04,41885,2016-078B,LEO,约382 km,34.93,15.618529,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
310,气象环境,CYGFM05,41884,2016-078A,LEO,约397 km,34.96,15.56903,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
311,气象环境,CYGFM07,41890,2016-078G,LEO,约387 km,34.94,15.604325,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
312,气象环境,CYGFM08,41888,2016-078E,LEO,约387 km,34.94,15.602913,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
313,科学/测地,DAMPE,41173,2015-078A,SSO/近极轨,约474 km,97.46,15.308022,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
314,气象环境,DMSP 5D-3 F16 (USA 172),28054,2003-048A,SSO/近极轨,约844 km,98.99,14.144834,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
315,气象环境,DMSP 5D-3 F17 (USA 191),29522,2006-050A,SSO/近极轨,约842 km,98.74,14.149936,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
316,气象环境,DMSP 5D-3 F18 (USA 210),35951,2009-057A,SSO/近极轨,约843 km,98.9,14.149012,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
317,气象环境,ELEKTRO-L 2,41105,2015-074A,GEO/高轨,"约35,787 km",6.71,1.002711,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
318,气象环境,FENGYUN 4B,48808,2021-047A,GEO/高轨,"约35,786 km",0.17,1.002737,geo,GEO地球同步卫星,适合讲解极轨/静止气象观测和地球环境监测。
319,科学/测地,FGRST (GLAST),33053,2008-029A,LEO,约494 km,25.58,15.239765,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
320,科学/测地,FLYING LAPTOP,42831,2017-042G,SSO/近极轨,约563 km,97.47,15.011904,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
321,科学/测地,GCOM-W1 (SHIZUKU),38337,2012-025A,SSO/近极轨,约703 km,98.2,14.571294,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
322,气象环境,GEO-KOMPSAT-2A,43823,2018-100A,GEO/高轨,"约35,787 km",0.04,1.002709,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
323,气象环境,HIMAWARI-8,40267,2014-060A,GEO/高轨,"约35,787 km",0.02,1.002711,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
324,气象环境,HIMAWARI-9,41836,2016-064A,GEO/高轨,"约35,787 km",0.02,1.002694,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
